STATE,BANK_STATE,APPROVAL_YEAR,TERM,EMPLOYEE_COUNT,JOBS_CREATED_COUNT,JOBS_RETAINED_COUNT,IS_URBAN,IS_REVOLVER,IS_LOW_DOC,DISBURSEMENT_AMOUNT,LOAN_AMOUNT,TREASURY_YIELD,CPI_INDEX,GDP,MORTGAGE_30_US_FIXED,UNRATE,INDPRO_INDEX,UMCSENT_INDEX,CSUSHPINSA_INDEX,CP_INDEX,FEDFUNDS_RATE,INDUSTRY,IS_Franchise,NEW,DAYS_TO_DIBURSEMENT,DEFAULT,DisbursementYEAR,SAME_STATE,SBA_APPROVED_PERCENTAGE,REAL_ESTATE,DISBURSED_GREATER_THAN_LOAN
FL,FL,1997,87,2,0,0,0,0,0,70000.0,70000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,0,184,0,1997,1,0.8,0,0
AR,MS,2006,126,7,0,0,1,0,0,137300.0,137300.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,0,0,82,0,2006,0,0.85,0,0
MN,MN,1997,60,2,0,0,0,0,0,39500.0,39500.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,0,61,0,1997,1,0.75,0,0
CA,SD,2006,83,18,5,23,1,1,0,438541.0,100000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Educational,0,1,21,0,2006,0,0.5,0,1
SC,SC,1997,240,1,5,0,0,0,0,291000.0,291000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,1,320,0,1998,1,1.0,1,0
FL,FL,2006,84,4,0,4,1,1,0,51440.0,35000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Construction,0,0,21,0,2006,1,0.5,0,1
TX,TX,1997,102,12,0,0,0,0,0,600000.0,600000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,0,153,0,1997,1,0.75,0,0
LA,LA,2006,60,3,0,0,1,0,0,50000.0,50000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,RE/Rental/Lease,0,0,113,0,2006,1,0.85,0,0
IA,IA,1997,84,2,0,0,0,0,0,30000.0,30000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,1,245,0,1997,1,0.75,0,0
TX,SD,2006,80,2,4,6,2,1,0,63076.0,25000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Prof/Science/Tech,0,0,113,0,2006,0,0.5,0,1
MS,MS,1997,120,2,0,0,0,0,1,100000.0,100000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Manufacturing,0,1,122,0,1997,1,0.8,0,0
OH,OH,1997,84,1,0,0,0,0,1,71000.0,71000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Construction,0,0,31,0,1997,1,0.8,0,0
VA,VA,1997,60,7,0,0,0,0,1,35000.0,35000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,1,5,0,1997,1,0.8,0,0
OH,OH,1997,120,5,0,0,0,0,1,99963.0,99963.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Accom/Food_serv,0,0,122,0,1997,1,0.7999959985194522,0,0
PA,PA,1997,42,2,0,0,0,0,1,15000.0,15000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,0,31,0,1997,1,0.8,0,0
KS,MO,1997,84,5,0,0,0,0,1,83711.0,86252.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Information,0,0,61,0,1997,0,0.8000046375736215,0,0
AK,SD,2006,83,2,0,2,1,1,0,78218.0,30000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Manufacturing,0,0,21,0,2006,0,0.5,0,1
TX,SD,2006,26,4,1,5,2,1,0,60859.0,20000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Retail_trade,0,1,21,1,2006,0,0.5,0,1
CA,SD,2006,36,18,1,19,1,1,0,577000.0,300000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Wholesale_trade,0,0,52,0,2006,0,0.5,0,1
PA,PA,1997,84,5,0,0,0,0,1,35000.0,35000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Finance/Insurance,0,1,487,0,1998,1,0.8,0,0
UT,UT,1997,240,20,8,8,0,0,0,208000.0,208000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Manufacturing,0,0,103,0,1997,1,1.0,1,0
CO,IL,2006,54,4,8,4,2,1,0,76432.0,30000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Admin_sup/Waste_Mgmt_Rem,0,0,21,1,2006,0,0.5,0,1
IA,IA,1997,87,6,0,0,0,0,1,46531.0,75000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,0,184,0,1997,1,0.8,0,0
IN,IN,1997,66,2,0,0,0,0,1,60000.0,60000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,1,1,184,0,1997,1,0.8,0,0
KS,KS,2006,60,8,0,0,1,0,0,95000.0,95000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,0,1,52,0,2006,1,0.85,0,0
ID,SD,1997,96,7,0,0,0,0,0,230000.0,230000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Wholesale_trade,0,0,153,0,1997,0,0.75,0,0
MI,WI,2006,93,50,0,0,2,0,0,150000.0,150000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,1,1,21,0,2006,0,0.85,0,0
CA,CA,2006,84,60,0,0,1,0,0,122977.0,50000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,0,0,52,0,2006,1,0.5,0,1
FL,FL,2006,84,5,0,0,1,0,0,275000.0,275000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Arts/Entertain/Rec,0,1,82,0,2006,1,0.75,0,0
FL,FL,1997,240,18,15,0,0,0,0,500000.0,500000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Prof/Science/Tech,0,0,201,0,1997,1,1.0,1,0
RI,RI,1997,96,55,0,0,0,0,0,400000.0,400000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Manufacturing,0,0,153,0,1997,1,0.75,0,0
MA,MA,1997,60,1,0,0,0,0,1,31000.0,31000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Prof/Science/Tech,1,1,31,0,1997,1,0.8,0,0
CA,CA,2006,60,7,3,10,1,1,0,85163.0,50000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Prof/Science/Tech,0,0,143,0,2006,1,0.5,0,1
MA,NC,1997,60,32,0,0,0,1,0,20000.0,20000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,0,71,0,1997,0,0.5,0,0
NV,SD,2006,27,10,11,10,1,1,0,90518.0,50000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Admin_sup/Waste_Mgmt_Rem,0,0,21,1,2006,0,0.5,0,1
CA,CA,2006,60,20,0,0,1,0,0,250000.0,250000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,0,1,52,1,2006,1,0.75,0,0
MN,MN,1997,42,10,0,0,0,0,1,65000.0,65000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Wholesale_trade,0,1,61,0,1997,1,0.8,0,0
MD,MD,1997,60,1,0,0,0,0,1,35000.0,35000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,1,153,0,1997,1,0.8,0,0
NY,NY,1997,240,24,2,24,0,0,0,218000.0,218000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,0,201,0,1997,1,1.0,1,0
NJ,NY,1997,120,4,0,0,0,0,1,61500.0,61500.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,1,125,0,1997,0,0.8,0,0
MN,SD,2006,82,1,0,1,2,1,0,173145.0,50000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Prof/Science/Tech,0,0,52,0,2006,0,0.5,0,1
NH,NH,2006,84,1,3,4,2,1,0,133880.0,66000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Manufacturing,0,0,52,0,2006,1,0.5,0,1
MA,MA,1997,60,1,0,0,0,0,1,60000.0,60000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,1,92,0,1997,1,0.8,0,0
MO,MO,1997,84,2,0,0,0,0,1,15000.0,30000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Prof/Science/Tech,0,1,31,0,1997,1,0.8,0,0
AZ,SD,2006,32,1,1,1,1,1,0,153553.0,45000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Trans/Ware,0,0,21,1,2006,0,0.5,0,1
ND,ND,1997,60,8,0,0,0,0,1,60000.0,60000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Admin_sup/Waste_Mgmt_Rem,0,0,61,0,1997,1,0.8,0,0
UT,UT,1997,240,22,8,8,0,0,0,248000.0,248000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Manufacturing,0,0,257,0,1997,1,1.0,1,0
IA,IA,1997,112,2,0,0,0,0,0,262000.0,262000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Ag/For/Fish/Hunt,0,0,122,0,1997,1,0.75,0,0
NY,IL,1997,36,4,0,0,0,1,0,35000.0,35000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Prof/Science/Tech,0,0,883,0,1999,0,0.5,0,0
NC,DE,1997,73,214,0,0,0,0,0,1000000.0,1000000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,0,184,0,1997,0,0.75,0,0
NY,IL,1997,36,1,0,0,0,1,0,69999.0,35000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Information,0,0,852,0,1999,0,0.5,0,1
WI,WI,1997,84,6,0,0,0,0,1,100000.0,100000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Wholesale_trade,0,0,61,0,1997,1,0.8,0,0
KS,KS,1997,84,3,0,0,0,0,1,35000.0,35000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Prof/Science/Tech,0,1,92,0,1997,1,0.8,0,0
NY,NY,2006,84,7,0,0,2,0,0,47000.0,47000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,0,1,143,0,2006,1,0.85,0,0
ID,MT,1997,180,12,0,0,2,0,0,241000.0,241000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Other_no_pub,0,1,92,0,1997,0,0.75,0,0
MT,MT,1997,180,6,0,0,2,0,1,85000.0,85000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Accom/Food_serv,0,0,92,0,1997,1,0.8,0,0
NV,SD,1997,255,14,0,0,0,0,0,665000.0,665000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Arts/Entertain/Rec,0,1,153,1,1997,0,0.75,1,0
NH,OH,1998,60,18,0,0,0,0,0,100000.0,100000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Manufacturing,0,0,35,0,1998,0,0.5,0,0
SC,MO,2006,55,1,0,0,1,0,0,126353.0,149000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Other_no_pub,1,1,52,1,2006,0,0.85,0,0
ME,OH,1998,60,2,0,0,0,0,0,30000.0,30000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,0,96,0,1998,0,0.5,0,0
ME,OH,1998,60,2,0,0,0,1,0,35000.0,20000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,1,1095,0,2001,0,0.5,0,1
NY,OH,1998,12,1,0,0,0,1,0,30000.0,30000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Construction,0,0,486,0,1999,0,0.5,0,0
MA,RI,1998,12,3,0,0,0,1,0,30000.0,30000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Construction,0,1,87,0,1998,0,0.5,0,0
NY,OH,1998,35,2,0,0,0,0,0,23000.0,23000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,1,18,1,1998,0,0.5,0,0
MI,MI,2006,12,10,0,0,1,1,0,1000000.0,1000000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Prof/Science/Tech,0,0,52,0,2006,1,0.75,0,0
NY,OH,1998,60,1,0,0,0,1,0,9900.0,10000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Prof/Science/Tech,0,1,77,0,1998,0,0.5,0,0
NY,OH,1998,84,1,0,0,0,0,0,10000.0,10000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Prof/Science/Tech,0,1,15,0,1998,0,0.5,0,0
NY,OH,1998,84,4,0,0,0,0,0,23000.0,23000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Admin_sup/Waste_Mgmt_Rem,0,0,75,0,1998,0,0.5,0,0
MI,MI,2006,5,4,2,4,1,1,0,25000.0,25000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Healthcare/Social_assist,0,0,52,1,2006,1,0.5,0,0
NY,OH,1998,62,9,0,0,0,1,0,37295.0,25000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,1,130,0,1998,0,0.5,0,1
AL,TN,2006,12,3,3,0,1,1,0,93868.0,60800.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Arts/Entertain/Rec,0,1,21,0,2006,0,0.5,0,1
ME,OH,1998,120,9,0,0,0,0,0,65000.0,65000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Healthcare/Social_assist,0,0,37,0,1998,0,0.5,0,0
MT,MT,2006,12,28,0,0,2,1,0,333330.0,333330.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Manufacturing,0,0,21,0,2006,1,0.9,0,0
WA,OH,1998,72,2,0,0,0,0,0,100000.0,100000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Prof/Science/Tech,0,1,1375,0,2002,0,0.5,0,0
MA,RI,2006,84,11,0,0,1,0,0,450000.0,450000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Accom/Food_serv,0,1,113,0,2006,0,0.75,0,0
NY,OH,1998,60,7,0,0,0,1,0,100000.0,100000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,0,63,0,1998,0,0.5,0,0
NY,OH,1998,60,7,0,0,0,0,0,60000.0,60000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,0,62,0,1998,0,0.5,0,0
AK,OH,1998,6,10,0,0,0,1,0,66500.0,66500.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Construction,0,0,62,0,1998,0,0.5,0,0
UT,IL,2006,54,5,5,5,2,1,0,81087.0,30000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,RE/Rental/Lease,0,0,21,1,2006,0,0.5,0,1
NV,IL,2006,84,1,0,1,2,1,0,13154.0,10000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Prof/Science/Tech,0,0,21,0,2006,0,0.5,0,1
NY,OH,1998,60,5,0,0,0,0,0,20000.0,20000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,1,1,106,0,1998,0,0.5,0,0
WA,IL,2006,84,4,0,4,2,1,0,70405.0,25000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Other_no_pub,0,0,21,0,2006,0,0.5,0,1
CA,SD,2006,83,6,0,6,1,1,0,75633.0,30000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Retail_trade,0,0,21,0,2006,0,0.5,0,1
NY,OH,1998,60,5,0,0,0,1,0,50000.0,50000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Healthcare/Social_assist,0,1,493,0,1999,0,0.5,0,0
CT,MA,2006,84,3,5,3,1,0,0,366166.0,300000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Prof/Science/Tech,0,0,21,0,2006,0,0.5,0,1
NY,OH,1998,60,3,0,0,0,1,0,252001.0,100000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Manufacturing,0,0,46,0,1998,0,0.5,0,1
NY,OH,1998,60,10,0,0,0,0,0,70000.0,70000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,0,746,0,2000,0,0.5,0,0
CO,SD,2006,46,1,0,1,2,1,0,28716.0,15000.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Manufacturing,0,0,21,1,2006,0,0.5,0,1
NY,OH,1998,84,11,0,0,0,0,0,95000.0,95000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Retail_trade,0,0,36,0,1998,0,0.5,0,0
ME,OH,1998,66,1,0,0,0,0,0,25000.0,25000.0,5.264166666666667,163.00833333333333,9062.81675,6.942641509433962,4.5,85.30824166666666,104.61666666666667,90.09958333333331,532.98875,5.353333333333333,Manufacturing,0,1,31,0,1998,0,0.5,0,0
